id,s,e,label,label_index
5BDj0ow5hnA,0.0,5.669999999999959,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,5.669999999999959,7.399999999999977,NO_SPEECH,3
5BDj0ow5hnA,7.399999999999977,8.080000000000041,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,8.080000000000041,8.759999999999991,NO_SPEECH,3
5BDj0ow5hnA,8.759999999999991,10.149999999999975,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,10.149999999999975,22.44000000000005,NO_SPEECH,3
5BDj0ow5hnA,22.44000000000005,22.710000000000036,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,22.710000000000036,31.840000000000032,NO_SPEECH,3
5BDj0ow5hnA,31.840000000000032,32.32000000000005,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,32.32000000000005,37.54999999999996,NO_SPEECH,3
5BDj0ow5hnA,37.54999999999996,38.75999999999999,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,38.75999999999999,39.54999999999996,NO_SPEECH,3
5BDj0ow5hnA,39.54999999999996,44.78999999999997,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,44.78999999999997,45.399999999999984,NO_SPEECH,3
5BDj0ow5hnA,45.399999999999984,47.90999999999997,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,47.90999999999997,49.149999999999984,NO_SPEECH,3
5BDj0ow5hnA,49.149999999999984,51.59000000000003,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,51.59000000000003,52.78999999999997,NO_SPEECH,3
5BDj0ow5hnA,52.78999999999997,87.20000000000003,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,87.20000000000003,92.14999999999998,CLEAN_SPEECH,0
5BDj0ow5hnA,92.14999999999998,133.71000000000004,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,133.71000000000004,135.27999999999997,NO_SPEECH,3
5BDj0ow5hnA,135.27999999999997,173.58999999999992,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,173.58999999999992,178.40000000000006,NO_SPEECH,3
5BDj0ow5hnA,178.40000000000006,203.76,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,203.76,208.95000000000005,NO_SPEECH,3
5BDj0ow5hnA,208.95000000000005,216.05999999999997,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,216.05999999999997,216.82999999999996,NO_SPEECH,3
5BDj0ow5hnA,216.82999999999996,222.64000000000007,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,222.64000000000007,224.06999999999996,NO_SPEECH,3
5BDj0ow5hnA,224.06999999999996,225.16000000000008,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,225.16000000000008,225.88000000000008,NO_SPEECH,3
5BDj0ow5hnA,225.88000000000008,231.79999999999995,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,231.79999999999995,232.88000000000008,NO_SPEECH,3
5BDj0ow5hnA,232.88000000000008,234.64000000000007,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,234.64000000000007,235.52,NO_SPEECH,3
5BDj0ow5hnA,235.52,241.39000000000007,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,241.39000000000007,242.67000000000007,NO_SPEECH,3
5BDj0ow5hnA,242.67000000000007,259.0,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,259.0,260.1600000000001,NO_SPEECH,3
5BDj0ow5hnA,260.1600000000001,267.75,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,267.75,269.51,NO_SPEECH,3
5BDj0ow5hnA,269.51,271.19000000000005,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,271.19000000000005,273.1099999999999,NO_SPEECH,3
5BDj0ow5hnA,273.1099999999999,274.04,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,274.04,275.3399999999999,NO_SPEECH,3
5BDj0ow5hnA,275.3399999999999,281.1099999999999,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,281.1099999999999,282.16000000000014,NO_SPEECH,3
5BDj0ow5hnA,282.16000000000014,283.05999999999995,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,283.05999999999995,287.3499999999999,NO_SPEECH,3
5BDj0ow5hnA,287.3499999999999,298.6300000000001,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,298.6300000000001,299.47,NO_SPEECH,3
5BDj0ow5hnA,299.47,300.0,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,300.0,317.4000000000001,CLEAN_SPEECH,0
5BDj0ow5hnA,317.4000000000001,318.3499999999999,NO_SPEECH,3
5BDj0ow5hnA,318.3499999999999,326.0,CLEAN_SPEECH,0
5BDj0ow5hnA,326.0,326.9500000000001,NO_SPEECH,3
5BDj0ow5hnA,326.9500000000001,336.3499999999999,CLEAN_SPEECH,0
5BDj0ow5hnA,336.3499999999999,341.9500000000001,NO_SPEECH,3
5BDj0ow5hnA,341.9500000000001,343.47,CLEAN_SPEECH,0
5BDj0ow5hnA,343.47,345.43000000000006,NO_SPEECH,3
5BDj0ow5hnA,345.43000000000006,347.79,CLEAN_SPEECH,0
5BDj0ow5hnA,347.79,348.91000000000014,NO_SPEECH,3
5BDj0ow5hnA,348.91000000000014,349.91000000000014,CLEAN_SPEECH,0
5BDj0ow5hnA,349.91000000000014,351.30999999999995,NO_SPEECH,3
5BDj0ow5hnA,351.30999999999995,352.23,CLEAN_SPEECH,0
5BDj0ow5hnA,352.23,355.0,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,355.0,355.03,CLEAN_SPEECH,0
5BDj0ow5hnA,355.03,356.19000000000005,NO_SPEECH,3
5BDj0ow5hnA,356.19000000000005,357.40000000000015,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,357.40000000000015,358.34999999999985,NO_SPEECH,3
5BDj0ow5hnA,358.34999999999985,360.31,SPEECH_WITH_NOISE,2
5BDj0ow5hnA,360.31,363.34999999999985,NO_SPEECH,3
5BDj0ow5hnA,363.34999999999985,366.88000000000017,CLEAN_SPEECH,0
5BDj0ow5hnA,366.88000000000017,368.76,NO_SPEECH,3
5BDj0ow5hnA,368.76,370.43000000000006,CLEAN_SPEECH,0
5BDj0ow5hnA,370.43000000000006,372.10999999999984,NO_SPEECH,3
5BDj0ow5hnA,372.10999999999984,374.79,CLEAN_SPEECH,0
5BDj0ow5hnA,374.79,375.68000000000006,NO_SPEECH,3
5BDj0ow5hnA,375.68000000000006,378.68000000000006,CLEAN_SPEECH,0
5BDj0ow5hnA,378.68000000000006,380.03,NO_SPEECH,3
5BDj0ow5hnA,380.03,385.8,CLEAN_SPEECH,0
5BDj0ow5hnA,385.8,387.22,NO_SPEECH,3
5BDj0ow5hnA,387.22,387.8,CLEAN_SPEECH,0
5BDj0ow5hnA,387.8,392.04,NO_SPEECH,3
5BDj0ow5hnA,392.04,393.27,SPEECH_WITH_NOISE,2
