3	510.0302700498774 101.84997972458598 -15.892397977878028 24.911873672845477 -16.206284425430766 -9.603498993142171 -9.602153092145718 -3.1852094733951164 -8.168055882481378 -3.7737781542368323 -3.7055224782916243 2.269392289901826 -0.3128916536996155 5.114403590082131 -1.453817864175197 -1.2860186242521168 -2.214807748694616 -1.0232035224640403 -2.8304801150461163 -0.28908353743394766 -1.5792444757639936 2.8869308715846977 4.013468058107487 4.0717035340445875 
1	612.7610303047823 103.27250940832823 1.9298057592237465 16.329785004811733 -15.36625217357948 -1.2198360576516403 1.9033155973374725 -6.526487865383027 -16.355761016426328 -2.1020995209490283 -14.338656418264662 -3.515274163952149 -2.0140382600112665 7.303141663486805 -0.2098341540028536 2.7158814367262254 -4.545194540101285 0.6667057636479453 -4.2352447912359885 -5.4570852356388215 -9.96790735175146 -5.252276597056655 -8.729534701316318 -6.658459401926271 
3	491.33950641186334 91.9942737567902 -3.364585266702416 21.946736467742916 -5.836669491952212 -3.3836375434092334 -5.8054728303104035 1.2199714783405209 -5.567302043516719 -4.912048513077768 -7.972419594391676 1.8087671055436865 2.0920550495776373 10.138028516536986 5.2464617305412045 1.1280393086628173 -8.10922714029468 -6.526578273069008 -6.275914262456642 3.1593266926834964 2.812120833005567 3.089865713300294 0.9143654589963145 2.4210662597836956 
1	618.423446783985 98.46304678703129 -12.852435372759972 28.178027523174563 -10.427913521063802 -0.7510745513159555 -11.283979642297076 -7.939304230643484 -13.435457153536374 -3.2747522265028532 -10.713010161897563 -3.15491600684235 -5.4480127721708325 3.94651394795852 -7.9079211611333795 -1.7370044816160735 -4.527945703468172 1.7434802585752618 -6.6142651060479905 -0.15499748467913382 -3.1789783321419796 -0.7027740639411848 -2.5045856034834904 0.5355175504087265 
3	486.392258770826 95.77033539838334 -8.667497588261135 26.285930999288084 -7.225877936051557 -9.037280490141958 -7.429625269371962 -4.260435927162584 -7.241209941891077 -5.028890883961711 -2.628056470706847 6.171096675428905 3.42290033145943 9.595201356850335 1.553769519894714 1.003960820677902 -0.754033766008198 -0.752004924450382 -4.141562095466113 0.19083824693631285 -1.9212710461244686 1.5731519644185892 4.229313409333781 3.9815652003214215 
1	608.1444734161464 119.34727606203687 -7.241022745717248 30.099515238882113 -11.285642859717791 1.934720225597459 1.805293577864704 -12.536152449409224 -19.809316915632795 -14.019445642284197 -18.803028396406 -0.3525934162191128 -7.543958773666733 5.792799602618524 -5.844029847687843 -2.889200059531121 -5.946636241711863 1.3710936547708477 -5.031422720049709 -0.6050288293776392 -3.7823629861262837 -3.030359773200053 -2.253498544397178 -1.3324268956676428 
3	649.9018451537426 76.62162563635252 -47.18261375670516 1.0384462840612747 -33.11960891418905 6.531063620222699 -7.749162205867268 -11.31851817623945 -11.157441384372898 4.771856806934067 -11.968690205904 1.5518540047332998 -8.41525019757451 6.567216102249648 -10.512863577341562 0.5401125367530724 3.4756212934481927 0.5196994515377974 -1.6442780442041522 8.672489179457617 5.568935509416662 9.311594034438775 -1.1727456703395578 2.9760563019919832 
2	581.4265688542688 100.51573165568561 -6.267476335654363 22.010297770783605 -22.60151892041132 -11.225499237718159 1.4114843383055364 -0.4348734331611459 -10.917759357948109 1.3145626198054554 -16.846933003071467 -3.56490611223098 -12.672555761373921 -7.7530433023856835 -6.539325503098701 4.97888639426244 -6.617861911150997 -9.662042060149489 -15.42925672393994 -3.1727140633588213 3.3863944819988268 1.1175716822680184 -0.22708538138605133 2.9047609488061137 
1	626.9772824838672 57.636095538787856 -10.588253947637876 34.992024295071964 -2.8089081875071957 6.51994767389555 -10.348646886970169 -1.8266503020380433 -19.878658554597575 -5.490352215154945 -10.608196121619473 -2.910060023949115 -6.7490549007238885 1.1144387923214216 -10.5217220372413 1.711187664593829 -4.875698338623767 1.648508637891833 -6.380371573276609 -0.6833131020629044 -6.071265747692448 -3.1339800193868284 -4.598161227337691 2.875416150077999 
0	637.393711163585 77.93731925808721 -28.730000890010164 28.27972972471768 -13.010465378537992 -12.742072862584308 -25.34287233127481 -5.760905010225353 -6.495342651088189 -5.241850786697722 -6.392436285795385 -5.305625258867218 -11.28193323748794 2.347673675521798 -12.975843295748922 -0.9293138973665822 -4.249137408270434 -2.121210999724479 -6.197667101937318 3.5804087604043437 0.2621611736225808 3.9769475509377776 3.7726170859701873 2.7628740954336064 
3	535.0902257675377 97.79834913178578 -14.235692757436453 21.670710384762423 -21.422213773078223 -3.959495267718249 -11.662084122664684 -8.045014426200927 -7.641816968954512 -4.630157299309949 -7.491337279587196 -2.0716820382844365 -6.3554847993208705 3.2496401012159293 1.3381910859231219 -2.490567805946739 -9.161026398928474 2.5157304026145195 2.9337671197160526 4.215304963127075 3.0853463019394645 9.936140331547717 1.7155126532971077 0.8873621189652466 
